candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
RANJITHKUMAR BALUSWAMY,Bahujan Samaj Party,3171,0.3,Tamil Nadu,SIVAGANGA,BSP
BASKARAN S,Independent,2194,0.21,Tamil Nadu,SIVAGANGA,IND
KALAISELVAM K,Independent,1663,0.16,Tamil Nadu,SIVAGANGA,IND
MALAISAMY K,Independent,1527,0.14,Tamil Nadu,SIVAGANGA,IND
SEKAR A,Independent,1292,0.12,Tamil Nadu,SIVAGANGA,IND
SELVARAJ P,Independent,1111,0.11,Tamil Nadu,SIVAGANGA,IND
THILLAIVASAGAM M,Vidiyalai Thedum Indhiyargal Party,1073,0.1,Tamil Nadu,SIVAGANGA,VTIP
ASHOK KUMAR K,Independent,1034,0.1,Tamil Nadu,SIVAGANGA,IND
KARTHICK C,Independent,981,0.09,Tamil Nadu,SIVAGANGA,IND
MUTHARASU PANDIYAN V,Independent,828,0.08,Tamil Nadu,SIVAGANGA,IND
KALAIRAJA B,Independent,819,0.08,Tamil Nadu,SIVAGANGA,IND
KARTHIKAIRAJAN P,Independent,771,0.07,Tamil Nadu,SIVAGANGA,IND
NOTA,None of the Above,8189,0.78,Tamil Nadu,SIVAGANGA,NA
T R BAALU,Dravida Munnetra Kazhagam,758611,52.65,Tamil Nadu,SRIPERUMBUDUR,DMK
G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,271582,18.85,Tamil Nadu,SRIPERUMBUDUR,AIADMK
V N VENUGOPAL,Tamil Maanila Congress (Moopanar),210110,14.58,Tamil Nadu,SRIPERUMBUDUR,TMC (M)
V RAVICHANDRAN,Naam Tamilar Katchi,140233,9.73,Tamil Nadu,SRIPERUMBUDUR,NTK
K PRABAKARAN,Bahujan Samaj Party,8189,0.57,Tamil Nadu,SRIPERUMBUDUR,BSP
M S ARUMUGAM,Independent,3699,0.26,Tamil Nadu,SRIPERUMBUDUR,IND
V SUDHAVALLI,Aravor Munnetra Kazhagam,3694,0.26,Tamil Nadu,SRIPERUMBUDUR,AMK
S AMBETHKUMAR,Mahathma Makkal Munnetra Kazhakam,2220,0.15,Tamil Nadu,SRIPERUMBUDUR,MMMK
M ASHOK KUMAR,Independent,1704,0.12,Tamil Nadu,SRIPERUMBUDUR,IND
S SIVAKUMAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1352,0.09,Tamil Nadu,SRIPERUMBUDUR,VTVTK
AYODHI LAKSHMANAN,Independent,1259,0.09,Tamil Nadu,SRIPERUMBUDUR,IND
S CHITTIBABU,Naadaalum Makkal Katchi,1241,0.09,Tamil Nadu,SRIPERUMBUDUR,NMK
C ARAVIND,Desiya Makkal Sakthi Katchi,970,0.07,Tamil Nadu,SRIPERUMBUDUR,DMSK
GOPI DEEPAK,Independent,883,0.06,Tamil Nadu,SRIPERUMBUDUR,IND
KARTHIK KUMAR P C,Independent,867,0.06,Tamil Nadu,SRIPERUMBUDUR,IND
J MOHANRAJ,Jebamani Janata,822,0.06,Tamil Nadu,SRIPERUMBUDUR,JJ
DR S PRAVEEN,Independent,799,0.06,Tamil Nadu,SRIPERUMBUDUR,IND
I MOHAMED YASEEN,Thakkam Katchi,669,0.05,Tamil Nadu,SRIPERUMBUDUR,TK
K PALANIYAPPAN,Tamizhaga Murpokku Makkal Katchi,617,0.04,Tamil Nadu,SRIPERUMBUDUR,TMMK
S PRABHU,Independent,514,0.04,Tamil Nadu,SRIPERUMBUDUR,IND
P BASKARAN,Independent,494,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
P HARIDAS,Independent,460,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
C A JAYARAMAN,Independent,447,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
G RAMKUMAR,Independent,426,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
N MANIKKAM,Independent,403,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
M PREMKUMAR,Independent,394,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
S MUNIKUMAR,Samaniya Makkal Nala Katchi,394,0.03,Tamil Nadu,SRIPERUMBUDUR,SMNK
M SARAVANAN,Independent,385,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
A JINNA MOHAMMED,Independent,388,0.03,Tamil Nadu,SRIPERUMBUDUR,IND
S SIVARAMAN,Independent,343,0.02,Tamil Nadu,SRIPERUMBUDUR,IND
C PREMKUMAR,Independent,316,0.02,Tamil Nadu,SRIPERUMBUDUR,IND
NOTA,None of the Above,26450,1.84,Tamil Nadu,SRIPERUMBUDUR,NA
DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,425679,40.97,Tamil Nadu,TENKASI,DMK
DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,229480,22.08,Tamil Nadu,TENKASI,AIADMK
B JOHN PANDIAN,Bharatiya Janata Party,208825,20.1,Tamil Nadu,TENKASI,BJP
ESAI MATHIVANAN,Naam Tamilar Katchi,130335,12.54,Tamil Nadu,TENKASI,NTK
KARPAGAVALLI P,Independent,6314,0.61,Tamil Nadu,TENKASI,IND
T MAHESHKUMAR,Bahujan Samaj Party,3554,0.34,Tamil Nadu,TENKASI,BSP
RAMASAMY P,Viro Ke Vir Indian Party,3412,0.33,Tamil Nadu,TENKASI,VKVIP
M MANMATHAN,Independent,3278,0.32,Tamil Nadu,TENKASI,IND
A SEETHA,Bahujan Dravida Party,2476,0.24,Tamil Nadu,TENKASI,BDP
KRISHNASAMY,Independent,1833,0.18,Tamil Nadu,TENKASI,IND
M UMAMAHESWARI,Desiya Makkal Sakthi Katchi,1655,0.16,Tamil Nadu,TENKASI,DMSK
A MUTHAIAH,Independent,1457,0.14,Tamil Nadu,TENKASI,IND
P KRISHNASAMY,Independent,1350,0.13,Tamil Nadu,TENKASI,IND
ARUMUGASWAMI M,Independent,1313,0.13,Tamil Nadu,TENKASI,IND
RAJA SEKAR,Independent,993,0.1,Tamil Nadu,TENKASI,IND
NOTA,None of the Above,17165,1.65,Tamil Nadu,TENKASI,NA
MURASOLI S,Dravida Munnetra Kazhagam,502245,48.82,Tamil Nadu,THANJAVUR,DMK
SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182662,17.76,Tamil Nadu,THANJAVUR,DMDK
MURUGANANTHAM M,Bharatiya Janata Party,170613,16.59,Tamil Nadu,THANJAVUR,BJP
HUMAYUN KABIR,Naam Tamilar Katchi,120293,11.69,Tamil Nadu,THANJAVUR,NTK
RENGASAMY C,Independent,18191,1.77,Tamil Nadu,THANJAVUR,IND
SARAVANAN M,Independent,6795,0.66,Tamil Nadu,THANJAVUR,IND
SENTHIL KUMAR N,Independent,4158,0.4,Tamil Nadu,THANJAVUR,IND
EZHILARASAN S,Independent,3851,0.37,Tamil Nadu,THANJAVUR,IND
JAYABAL A,Bahujan Samaj Party,2410,0.23,Tamil Nadu,THANJAVUR,BSP
SANTHOSH M,Independent,1992,0.19,Tamil Nadu,THANJAVUR,IND
ER ARJUN S,Independent,1446,0.14,Tamil Nadu,THANJAVUR,IND
KARIKALA CHOLAN S,Independent,1217,0.12,Tamil Nadu,THANJAVUR,IND
NOTA,None of the Above,12833,1.25,Tamil Nadu,THANJAVUR,NA
THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,571493,50.08,Tamil Nadu,THENI,DMK
TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,292668,25.65,Tamil Nadu,THENI,AMMK
NARAYANASAMY V T,All India Anna Dravida Munnetra Kazhagam,155587,13.63,Tamil Nadu,THENI,AIADMK
MADHAN,Naam Tamilar Katchi,76834,6.73,Tamil Nadu,THENI,NTK
PRAKASH P,Independent,6298,0.55,Tamil Nadu,THENI,IND
PANDIKUMAR S,Independent,3967,0.35,Tamil Nadu,THENI,IND
AJEETHKUMAR S,Independent,3006,0.26,Tamil Nadu,THENI,IND
PARAMASIVAN S,Independent,2866,0.25,Tamil Nadu,THENI,IND
PARTHIBAN G,Independent,2277,0.2,Tamil Nadu,THENI,IND
JEEVA M,Bahujan Samaj Party,2222,0.19,Tamil Nadu,THENI,BSP
CHARCHIL DURAI P,Humanity for Peace Party,1935,0.17,Tamil Nadu,THENI,HPP
PREMA S,Independent,1232,0.11,Tamil Nadu,THENI,IND
MANIKANDAN R,Independent,1201,0.11,Tamil Nadu,THENI,IND
REVATHI K,Independent,1128,0.1,Tamil Nadu,THENI,IND
MUDIYARASU,All India Youth Development Party,1094,0.1,Tamil Nadu,THENI,AIYDP
THIAGARAJAN O V,Independent,932,0.08,Tamil Nadu,THENI,IND
VASANTHA SARAVANAN,Independent,805,0.07,Tamil Nadu,THENI,IND
VIJAYAN K,Independent,667,0.06,Tamil Nadu,THENI,IND
SETHUPATHI G,Independent,617,0.05,Tamil Nadu,THENI,IND
JOHNGILBERTRAJ,Independent,603,0.05,Tamil Nadu,THENI,IND
AATHIMUTHUKUMAR M,Independent,592,0.05,Tamil Nadu,THENI,IND
MUTHUKUMAR,Independent,543,0.05,Tamil Nadu,THENI,IND
HARIKRISHNAKUMAR R,Independent,486,0.04,Tamil Nadu,THENI,IND
SATHEESH KUMAR A,Independent,453,0.04,Tamil Nadu,THENI,IND
KUMAR,Independent,377,0.03,Tamil Nadu,THENI,IND
NOTA,None of the Above,11336,0.99,Tamil Nadu,THENI,NA
KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729,55.26,Tamil Nadu,THOOTHUKKUDI,DMK
SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147991,15.12,Tamil Nadu,THOOTHUKKUDI,AIADMK
VIJAYASEELAN SDR,Tamil Maanila Congress (Moopanar),122380,12.51,Tamil Nadu,THOOTHUKKUDI,TMC (M)
ROWENA RUTH JANE J,Naam Tamilar Katchi,120300,12.29,Tamil Nadu,THOOTHUKKUDI,NTK
RAJHA N P,Naam Indiar Party,6640,0.68,Tamil Nadu,THOOTHUKKUDI,NIP
ARUNADEVI R,Independent,6072,0.62,Tamil Nadu,THOOTHUKKUDI,IND
CHITHIRAI JEGAN S,Independent,3640,0.37,Tamil Nadu,THOOTHUKKUDI,IND
SIVANESWARAN J,Independent,3376,0.35,Tamil Nadu,THOOTHUKKUDI,IND
SAMUEL T,Independent,2245,0.23,Tamil Nadu,THOOTHUKKUDI,IND
MANIKKARAJ A,Bahujan Samaj Party,2195,0.22,Tamil Nadu,THOOTHUKKUDI,BSP
AASIRIYAR SHANMUGA SUNDARAM K,Independent,1839,0.19,Tamil Nadu,THOOTHUKKUDI,IND
KALEERMURUGAPAVENTHAN R,Makkal Nalvaazhvuk Katchi,1792,0.18,Tamil Nadu,THOOTHUKKUDI,MNK
PONKUMARAN T P S,Independent,897,0.09,Tamil Nadu,THOOTHUKKUDI,IND
JEYAKUMAR C,Independent,829,0.08,Tamil Nadu,THOOTHUKKUDI,IND
GANDHIMALLAR S M,Independent,805,0.08,Tamil Nadu,THOOTHUKKUDI,IND
BISHOP DR GODFREY NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,769,0.08,Tamil Nadu,THOOTHUKKUDI,AJPK
PERUMALKUMAR P,Puthiya Makkal Tamil Desam Katchi,739,0.08,Tamil Nadu,THOOTHUKKUDI,PMTDK
ESAKKIMUTHU V,Independent,710,0.07,Tamil Nadu,THOOTHUKKUDI,IND
KANNAN G,Independent,689,0.07,Tamil Nadu,THOOTHUKKUDI,IND
DAVID JEBASEELAN J,Independent,663,0.07,Tamil Nadu,THOOTHUKKUDI,IND
SUDALAIMUTHU P,Independent,578,0.06,Tamil Nadu,THOOTHUKKUDI,IND
KRISHNAN S,Independent,480,0.05,Tamil Nadu,THOOTHUKKUDI,IND
RADHAKRISHNAN V G,Independent,461,0.05,Tamil Nadu,THOOTHUKKUDI,IND
JAMES P,Independent,444,0.05,Tamil Nadu,THOOTHUKKUDI,IND
PONRAJ K,Independent,429,0.04,Tamil Nadu,THOOTHUKKUDI,IND
PRASANNA KUMAR M,Independent,396,0.04,Tamil Nadu,THOOTHUKKUDI,IND
SELVAMUTHUKUMAR M,Independent,341,0.03,Tamil Nadu,THOOTHUKKUDI,IND
SENTHIL KUMAR S,Independent,291,0.03,Tamil Nadu,THOOTHUKKUDI,IND
NOTA,None of the Above,9806,1,Tamil Nadu,THOOTHUKKUDI,NA
DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213,51.35,Tamil Nadu,TIRUCHIRAPPALLI,MDMK
KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,229119,21.7,Tamil Nadu,TIRUCHIRAPPALLI,AIADMK
RAJESSH. T,Naam Tamilar Katchi,107458,10.18,Tamil Nadu,TIRUCHIRAPPALLI,NTK
SENTHILNATHAN. P,Amma Makkal Munnettra Kazagam,100747,9.54,Tamil Nadu,TIRUCHIRAPPALLI,AMMK
SELVARAJ. S,Independent,14796,1.4,Tamil Nadu,TIRUCHIRAPPALLI,IND
DAMODARAN. S,Independent,5166,0.49,Tamil Nadu,TIRUCHIRAPPALLI,IND
ALLIMUTHU. M,Bahujan Samaj Party,4431,0.42,Tamil Nadu,TIRUCHIRAPPALLI,BSP
RAJENDRAN. S,Independent,3499,0.33,Tamil Nadu,TIRUCHIRAPPALLI,IND
JEEVANANTHAM. M,Independent,2952,0.28,Tamil Nadu,TIRUCHIRAPPALLI,IND
SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2646,0.25,Tamil Nadu,TIRUCHIRAPPALLI,APTADMK
KARUPPIAH. S,Independent,2171,0.21,Tamil Nadu,TIRUCHIRAPPALLI,IND
BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,2283,0.22,Tamil Nadu,TIRUCHIRAPPALLI,NMK
SATHIS KUMAR. S,Independent,2052,0.19,Tamil Nadu,TIRUCHIRAPPALLI,IND
KAVITHA. S,Independent,1736,0.16,Tamil Nadu,TIRUCHIRAPPALLI,IND
NAGARAJAN. M,Independent,1664,0.16,Tamil Nadu,TIRUCHIRAPPALLI,IND
GOVINDARASU. P,Independent,1566,0.15,Tamil Nadu,TIRUCHIRAPPALLI,IND
ANBIN AMUDHAN. R,Independent,1498,0.14,Tamil Nadu,TIRUCHIRAPPALLI,IND
DURAIRAJ. A,Independent,1463,0.14,Tamil Nadu,TIRUCHIRAPPALLI,IND
SASIKUMAR. P,Independent,1352,0.13,Tamil Nadu,TIRUCHIRAPPALLI,IND
PANNEERSELVAM. P,Independent,1263,0.12,Tamil Nadu,TIRUCHIRAPPALLI,IND
DURAI. S,Independent,1202,0.11,Tamil Nadu,TIRUCHIRAPPALLI,IND
ANAND SELVARAJ,Independent,1178,0.11,Tamil Nadu,TIRUCHIRAPPALLI,IND
SANKAR. R,Independent,1166,0.11,Tamil Nadu,TIRUCHIRAPPALLI,IND
AMBIVENKATESAN,Independent,978,0.09,Tamil Nadu,TIRUCHIRAPPALLI,IND
DURAI. T,Independent,880,0.08,Tamil Nadu,TIRUCHIRAPPALLI,IND
SATHYAMURTHY. T,Independent,834,0.08,Tamil Nadu,TIRUCHIRAPPALLI,IND
VIJAYAKUMAR. P,Independent,802,0.08,Tamil Nadu,TIRUCHIRAPPALLI,IND
PERIYASAMY. V,Independent,774,0.07,Tamil Nadu,TIRUCHIRAPPALLI,IND
AKILA. M,Independent,747,0.07,Tamil Nadu,TIRUCHIRAPPALLI,IND
ROJA RAMANI. S,Anna MGR Dravida Makkal Kalgam,777,0.07,Tamil Nadu,TIRUCHIRAPPALLI,AMDMK
RAJENDRAN. P,Independent,675,0.06,Tamil Nadu,TIRUCHIRAPPALLI,IND
MANIKANDARAJ. S,Independent,608,0.06,Tamil Nadu,TIRUCHIRAPPALLI,IND
MURUGESAN. P,Independent,497,0.05,Tamil Nadu,TIRUCHIRAPPALLI,IND
JOSEPH. L,Samaniya Makkal Nala Katchi,491,0.05,Tamil Nadu,TIRUCHIRAPPALLI,SMNK
MUTHURAJA. T,Independent,431,0.04,Tamil Nadu,TIRUCHIRAPPALLI,IND
NOTA,None of the Above,13849,1.31,Tamil Nadu,TIRUCHIRAPPALLI,NA
ROBERT BRUCE C,Indian National Congress,502296,47.06,Tamil Nadu,TIRUNELVELI,INC
NAINAR NAGENTHRAN,Bharatiya Janata Party,336676,31.54,Tamil Nadu,TIRUNELVELI,BJP
JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,89601,8.39,Tamil Nadu,TIRUNELVELI,AIADMK
SATHYA,Naam Tamilar Katchi,87686,8.21,Tamil Nadu,TIRUNELVELI,NTK
POTTAL SUNDARA MUNISWARAN,Independent,19852,1.86,Tamil Nadu,TIRUNELVELI,IND
ATHISAYAM V,Independent,3781,0.35,Tamil Nadu,TIRUNELVELI,IND
BALASUBRAMANIAN,Bahujan Samaj Party,2067,0.19,Tamil Nadu,TIRUNELVELI,BSP
CHINNA MAHARAJA K,Independent,1895,0.18,Tamil Nadu,TIRUNELVELI,IND
DAVID M,Independent,1836,0.17,Tamil Nadu,TIRUNELVELI,IND
SAMUEL LAWRENCE PONNIAH,Independent,1497,0.14,Tamil Nadu,TIRUNELVELI,IND
BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1475,0.14,Tamil Nadu,TIRUNELVELI,AJPK
LENIN K,Independent,1450,0.14,Tamil Nadu,TIRUNELVELI,IND
CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1413,0.13,Tamil Nadu,TIRUNELVELI,VTVTK
SELVA KUMAR S,Bahujan Dravida Party,1346,0.13,Tamil Nadu,TIRUNELVELI,BDP
KUMAR V,Puthiya Makkal Tamil Desam Katchi,1072,0.1,Tamil Nadu,TIRUNELVELI,PMTDK
MUTHURAMAN A,Aravor Munnetra Kazhagam,1048,0.1,Tamil Nadu,TIRUNELVELI,AMK
THALAPATHY MURUGAN M,Independent,917,0.09,Tamil Nadu,TIRUNELVELI,IND
SIVARAM K,Independent,875,0.08,Tamil Nadu,TIRUNELVELI,IND
RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,0.07,Tamil Nadu,TIRUNELVELI,NINIK
SURESH,Independent,788,0.07,Tamil Nadu,TIRUNELVELI,IND
DR RAJENDRA RETNAM K,Independent,689,0.06,Tamil Nadu,TIRUNELVELI,IND
SEVAL KANNAN B ADVOCATE,Independent,636,0.06,Tamil Nadu,TIRUNELVELI,IND
RAGHAVAN C M,Independent,366,0.03,Tamil Nadu,TIRUNELVELI,IND
NOTA,None of the Above,7396,0.69,Tamil Nadu,TIRUNELVELI,NA
"SUBBARAYAN, K.",Communist Party of India,472739,41.38,Tamil Nadu,TIRUPPUR,CPI
"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,346811,30.35,Tamil Nadu,TIRUPPUR,AIADMK
"MURUGANANDAM, A.P.",Bharatiya Janata Party,185322,16.22,Tamil Nadu,TIRUPPUR,BJP
"SEETHALAKSHMI, M.K.",Naam Tamilar Katchi,95726,8.38,Tamil Nadu,TIRUPPUR,NTK
"VELUSAMY, A.",Independent,7125,0.62,Tamil Nadu,TIRUPPUR,IND
"PALANI, V.",Bahujan Samaj Party,6054,0.53,Tamil Nadu,TIRUPPUR,BSP
"SATHISHKUMAR, N.",Independent,2336,0.2,Tamil Nadu,TIRUPPUR,IND
"JANARTHANAM, P.",Tamilaga Makkal Thannurimai Katchi,1868,0.16,Tamil Nadu,TIRUPPUR,TMTK
"KANNAN, M.",Independent,1765,0.15,Tamil Nadu,TIRUPPUR,IND
"SENGUTTUVAN, M.R.",Independent,1567,0.14,Tamil Nadu,TIRUPPUR,IND
"SUBRAMANI, N.",Independent,1350,0.12,Tamil Nadu,TIRUPPUR,IND
"MALARVIZHI, G.",Rashtriya Samaj Paksha,1325,0.12,Tamil Nadu,TIRUPPUR,RSP
"KARTHIKEYAN, P.",Independent,824,0.07,Tamil Nadu,TIRUPPUR,IND
NOTA,None of the Above,17737,1.55,Tamil Nadu,TIRUPPUR,NA
Sasikanth Senthil,Indian National Congress,796956,56.21,Tamil Nadu,TIRUVALLUR,INC
"Balaganapathy, V. Pon",Bharatiya Janata Party,224801,15.86,Tamil Nadu,TIRUVALLUR,BJP
"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,223904,15.79,Tamil Nadu,TIRUVALLUR,DMDK
"Jagadesh Chander, M.",Naam Tamilar Katchi,120838,8.52,Tamil Nadu,TIRUVALLUR,NTK
"Tamizhmadhi, D.",Bahujan Samaj Party,13810,0.97,Tamil Nadu,TIRUVALLUR,BSP
"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2946,0.21,Tamil Nadu,TIRUVALLUR,DMSK
Malathi,Naadaalum Makkal Katchi,2853,0.2,Tamil Nadu,TIRUVALLUR,NMK
"Mani, E.",Independent,2752,0.19,Tamil Nadu,TIRUVALLUR,IND
"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2008,0.14,Tamil Nadu,TIRUVALLUR,AMDMK
"Manimaran, V.",Independent,1922,0.14,Tamil Nadu,TIRUVALLUR,IND
"Balakrishnan, K.",Independent,1690,0.12,Tamil Nadu,TIRUVALLUR,IND
"Bharathidasan, S.S.",Independent,1631,0.12,Tamil Nadu,TIRUVALLUR,IND
"Shakthivel, A.J.",Independent,1613,0.11,Tamil Nadu,TIRUVALLUR,IND
"Sivasankaran, V.",Independent,1110,0.08,Tamil Nadu,TIRUVALLUR,IND
NOTA,None of the Above,18978,1.34,Tamil Nadu,TIRUVALLUR,NA
"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379,47.75,Tamil Nadu,TIRUVANNAMALAI,DMK
KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448,27.34,Tamil Nadu,TIRUVANNAMALAI,AIADMK
"ASUVATHAMAN, A.",Bharatiya Janata Party,156650,13.67,Tamil Nadu,TIRUVANNAMALAI,BJP
"RAMESHBABU, R.",Naam Tamilar Katchi,83869,7.32,Tamil Nadu,TIRUVANNAMALAI,NTK
"KALIAPERUMAL, M.",Independent,5713,0.5,Tamil Nadu,TIRUVANNAMALAI,IND
"BENNYRAJAN, C.J.",Bharatiya Praja Aikyata Party,4810,0.42,Tamil Nadu,TIRUVANNAMALAI,BPAP
"KALIYAPERUMAL, A.",Independent,3407,0.3,Tamil Nadu,TIRUVANNAMALAI,IND
"MOHANRAJA, V.M.",Bahujan Samaj Party,2637,0.23,Tamil Nadu,TIRUVANNAMALAI,BSP
CAPTAIN GOWTHAM,Independent,1842,0.16,Tamil Nadu,TIRUVANNAMALAI,IND
"UDHAYAKUMAR, P.S.",Independent,1251,0.11,Tamil Nadu,TIRUVANNAMALAI,IND
"ANNADURAI, S.",Independent,1172,0.1,Tamil Nadu,TIRUVANNAMALAI,IND
"KOTHANDABANI, B.",Independent,965,0.08,Tamil Nadu,TIRUVANNAMALAI,IND
"SELVAM , K.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,954,0.08,Tamil Nadu,TIRUVANNAMALAI,VTVTK
"KALASTHIRI, S.",All India Uzhavargal Uzhaippalargal Katchi,950,0.08,Tamil Nadu,TIRUVANNAMALAI,AIUUK
"VIJAYAKUMAR, S.",Independent,934,0.08,Tamil Nadu,TIRUVANNAMALAI,IND
"JAGANNATHAN, R.",Independent,864,0.08,Tamil Nadu,TIRUVANNAMALAI,IND
"SENTHAMIL SELVAN, M.",Independent,856,0.07,Tamil Nadu,TIRUVANNAMALAI,IND
"AGNI SELVARASU, J.",Naadaalum Makkal Katchi,777,0.07,Tamil Nadu,TIRUVANNAMALAI,NMK
"SATHIYAMOORTHY, S.",Makkal Nala Kazhagam,736,0.06,Tamil Nadu,TIRUVANNAMALAI,MNK
"ANNADURAI, S.",Independent,648,0.06,Tamil Nadu,TIRUVANNAMALAI,IND
"SUB MAJOR SETTU, M.",Viro Ke Vir Indian Party,658,0.06,Tamil Nadu,TIRUVANNAMALAI,VKVIP
"SANKAR, S.",Independent,578,0.05,Tamil Nadu,TIRUVANNAMALAI,IND
"ANNADURAI, A.",Independent,516,0.05,Tamil Nadu,TIRUVANNAMALAI,IND
"NALLASIVAM, M.",Independent,429,0.04,Tamil Nadu,TIRUVANNAMALAI,IND
"PALANI , T.N.",Independent,414,0.04,Tamil Nadu,TIRUVANNAMALAI,IND
"POONGODY, A.",Independent,417,0.04,Tamil Nadu,TIRUVANNAMALAI,IND
"VIMAL, V.",Independent,342,0.03,Tamil Nadu,TIRUVANNAMALAI,IND
"THANGARAJ, P.",Independent,295,0.03,Tamil Nadu,TIRUVANNAMALAI,IND
"RAMESH , T.P.",Independent,281,0.02,Tamil Nadu,TIRUVANNAMALAI,IND
"NAKKEERAN , A.",Independent,265,0.02,Tamil Nadu,TIRUVANNAMALAI,IND
DEEPAMMAL SUNDARI,Independent,259,0.02,Tamil Nadu,TIRUVANNAMALAI,IND
NOTA,None of the Above,11957,1.04,Tamil Nadu,TIRUVANNAMALAI,NA
DM KATHIR ANAND,Dravida Munnetra Kazhagam,568692,50.35,Tamil Nadu,VELLORE,DMK
AC SHANMUGAM,Bharatiya Janata Party,352990,31.25,Tamil Nadu,VELLORE,BJP
DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,117682,10.42,Tamil Nadu,VELLORE,AIADMK
D MAHESH ANAND,Naam Tamilar Katchi,53284,4.72,Tamil Nadu,VELLORE,NTK
A NATARAJAN,Bharatiya Praja Aikyata Party,4005,0.35,Tamil Nadu,VELLORE,BPAP
SHANMUGAVELU,Independent,3576,0.32,Tamil Nadu,VELLORE,IND
MANSOOR ALI KHAN,Independent,2804,0.25,Tamil Nadu,VELLORE,IND
SYED ALI D,Independent,2124,0.19,Tamil Nadu,VELLORE,IND
P SHANMUGAM,Independent,2039,0.18,Tamil Nadu,VELLORE,IND
NAGARAJ P,Independent,1959,0.17,Tamil Nadu,VELLORE,IND
K JAYAMANI,Bahujan Samaj Party,1702,0.15,Tamil Nadu,VELLORE,BSP
D SARAVANAN,Independent,1497,0.13,Tamil Nadu,VELLORE,IND
MP SHANMUGAM,Independent,868,0.08,Tamil Nadu,VELLORE,IND
N SIVAKUMAR,Independent,701,0.06,Tamil Nadu,VELLORE,IND
AFROSE,Independent,673,0.06,Tamil Nadu,VELLORE,IND
A BEEMARAO MILINTHAR,United Republican Party of India,670,0.06,Tamil Nadu,VELLORE,URPI
DR S JAYARAJ,Independent,661,0.06,Tamil Nadu,VELLORE,IND
K SHANMUGAM,Independent,616,0.05,Tamil Nadu,VELLORE,IND
V KALIAPERUMAL,Ganasangam Party of India,600,0.05,Tamil Nadu,VELLORE,GPI
G SHANMUGAM,Independent,572,0.05,Tamil Nadu,VELLORE,IND
PP JAYAPRAKASH,Independent,461,0.04,Tamil Nadu,VELLORE,IND
PASUPATHI,Independent,415,0.04,Tamil Nadu,VELLORE,IND
S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,377,0.03,Tamil Nadu,VELLORE,TMMDK
M BABU,Independent,306,0.03,Tamil Nadu,VELLORE,IND
B JAGAN,Independent,285,0.03,Tamil Nadu,VELLORE,IND
AHMED RAASHID PALLIMIRA,Independent,273,0.02,Tamil Nadu,VELLORE,IND
SHANMUGASUNDARAM,Independent,251,0.02,Tamil Nadu,VELLORE,IND
C MADHAVAN,Independent,202,0.02,Tamil Nadu,VELLORE,IND
T JOHNSON,Independent,174,0.02,Tamil Nadu,VELLORE,IND
E RAJKUMAR,Independent,133,0.01,Tamil Nadu,VELLORE,IND
C RAMACHANDHIRAN,Independent,130,0.01,Tamil Nadu,VELLORE,IND
NOTA,None of the Above,8736,0.77,Tamil Nadu,VELLORE,NA
RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033,41.39,Tamil Nadu,VILUPPURAM,VCK
